05:34:15.735 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:828.6899999999999
05:34:15.751 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:137.664,gaze_y:847.2299999999999
05:34:15.754 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:137.664,gaze_y:847.2299999999999
05:34:15.755 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:137.664,gaze_y:847.2299999999999
05:34:15.757 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:137.664,gaze_y:847.2299999999999
05:34:15.757 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:137.664,gaze_y:847.2299999999999
05:34:15.758 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:137.664,gaze_y:847.2299999999999
05:34:15.782 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.783 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.784 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.786 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.787 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.788 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.790 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.790 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.791 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.793 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.794 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:117.36000000000001,gaze_y:894.4799999999999
05:34:15.796 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.797 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.798 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.800 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.801 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.802 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.804 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.805 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.806 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.807 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
05:34:15.807 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:141.55200000000002,gaze_y:864.69
